RecordID,BugID,Date.start,Temp.rear,Temp.test,Date.0h,Time.0h,Fed.0h,Mass.0h,Date.6h,Time.6h,Fed.6h,Mass.6h,Date.24h,Time.24h,Fed.24h,Mass.24h,Date.30h,Time.30h,Fed.30h,Mass.30h,Date.48h,Time.48h,Fed.48h,Mass.48h,Date.54h,Time.54h,Fed.54h,Mass.54h,Date.72h,Time.72h,Fed.72h,Mass.72h,Date.96h,Time.96h,Fed.96h,Mass.96h,Date.120h,Time.120h,Fed.120h,Mass.120h,Date.144h,Time.144h,Fed.144h,Mass.144h,Date.wander,Date.pupa,Mass.pupa,Date.death,Notes
43,30_10,42451,11C_35C,30,42451,9:43,NA,1.0636,42451,16:45,1,1.2468,42452,9:57,1,2.6312,42452,15:14,1,2.6821,42453,10:02,1,5.1116,42453,15:11,1,5.6994,42454,9:56,1,8.9498,42455,9:14,1,8.0232,NA,NA,NA,NA,NA,NA,NA,NA,42455,42459,5.0284,42459,NA
90,25-30,42536,11-35C,25,42536,9:09,NA,1.0639,42536,15:11,1,1.0558,42537,9:02,1,1.3259,42537,15:14,1,1.5584,42538,9:12,1,2.6234,42538,15:17,1,2.8842,42539,9:23,1,4.9466,42540,9:23,1,8.4074,42541,9:24,1,9.9616,NA,NA,NA,NA,42541,42547,5.2434,NA,NA
98,34-28,42536,11-35C,34,42536,9:24,NA,1.0657,42536,15:30,1,1.387,42537,9:18,1,3.1387,42537,15:29,1,4.0853,42538,9:28,1,5.5484,42538,15:35,1,6.32667,42539,9:41,1,7.6427,42540,9:45,1,7.3245,42541,NA,NA,NA,NA,NA,NA,NA,42540,42543,3.8444,NA,NA
59,40_8,42472,11C_35C,40,42472,10:43,NA,1.0718,42472,15:58,1,1.2997,42473,9:35,1,2.4105,42473,15:26,1,2.7829,42474,9:45,1,3.9532,42474,15:15,1,4.4353,42475,8:32,1,5.0545,42476,10:21,1,5.5236,42477,10:03,1,5.4506,42478,9:45,1,5.1403,NA,NA,NA,42480,died_at_larvae_stage
76,38_11.3,42486,11C_35C,38,42120,9:37,NA,1.0842,42120,14:52,1,1.2864,42487,9:12,1,2.2577,42487,15:34,1,2.8091,42488,9:27,1,4.1486,42488,15:10,1,4.5314,4/29/1930,9:31,1,5.8715,42490,9:33,1,7.1131,42491,NA,NA,NA,42492,NA,NA,NA,NA,42496,2.141,42497,did_not_pupate_successfully
97,34-27,42536,11-35C,34,42536,9:22,NA,1.0852,42536,15:28,1,1.5514,42537,9:16,1,3.1273,42537,15:27,1,3.7087,42538,9:26,1,5.3625,42538,15:33,1,5.9129,42539,9:39,1,7.3956,42540,9:44,1,7.9503,42541,NA,NA,NA,NA,NA,NA,NA,42540,42543,3.9529,NA,NA
46,30_13,42451,11C_35C,30,42451,9:46,NA,1.0869,42451,16:51,1,1.0744,42452,10:03,1,1.0579,42452,15:18,1,1.2194,42453,10:07,1,1.2604,42453,15:14,0,1.2844,42454,9:59,1,1.4725,42455,9:22,1,3.0635,42456,9:09,1,3.7657,NA,NA,NA,NA,NA,NA,NA,NA,didnot_pupate_successfully
67,38_2.3,42486,11C_35C,38,42120,9:18,NA,1.0904,42120,14:31,1,1.2227,42487,9:17,1,2.6151,42487,15:06,1,3.2052,42488,9:11,1,4.9771,42488,15:02,1,5.3263,4/29/1930,9:13,1,6.6803,42490,9:09,1,8.7897,42491,9:09,1,8.3164,42492,NA,NA,NA,42491,42496,3.2181,42497,did_not_pupate_successfully
73,38_8.3,42486,11C_35C,38,42120,9:30,NA,1.096,42120,14:46,1,1.3026,42487,9:13,1,3.3355,42487,15:26,1,3.9107,42488,9:15,1,5.4988,42488,15:08,1,6.185,4/29/1930,9:23,1,7.4309,42490,9:26,1,7.4481,42491,NA,NA,NA,42492,NA,NA,NA,42490,42496,1.9781,42497,did_not_pupate_successfully
72,38_7.3,42486,11C_35C,38,42120,9:27,NA,1.1133,42120,14:44,1,1.3327,42487,9:14,1,3.0969,42487,15:22,1,3.8039,42488,9:23,1,5.2774,42488,15:06,1,5.8312,4/29/1930,9:22,1,7.821,42490,9:23,1,7.2088,42491,NA,NA,NA,42492,NA,NA,NA,42490,42496,2.6067,42497,did_not_pupate_successfully
95,34-25,42536,11-35C,34,42536,9:19,NA,1.1209,42536,15:25,1,1.1045,42537,9:13,1,1.4624,42537,15:24,1,1.5747,42538,9:23,1,1.9894,42538,15:29,1,2.3368,42539,9:36,1,3.3609,42540,9:40,1,6.4347,42541,9:28,1,7.6222,NA,NA,NA,NA,42541,42545,2.9814,NA,NA
91,34-21,42536,11-35C,34,42536,9:12,NA,1.13,42536,15:19,1,1.3819,42537,9:07,1,3.0051,42537,15:19,1,3.9271,42538,9:17,1,6.0292,42538,15:23,1,6.9549,42539,9:29,1,9.1058,42540,9:31,1,7.9174,42541,NA,NA,NA,NA,NA,NA,NA,42540,42543,4.3715,NA,NA
87,25-27,42536,11-35C,25,42536,9:03,NA,1.1308,42536,15:06,1,1.3832,42537,8:57,1,2.6691,42537,15:10,1,3.0792,42538,9:08,1,4.3573,42538,15:11,1,5.4377,42539,9:17,1,7.6771,42540,9:17,1,10.6603,42541,9:18,1,11.4652,NA,NA,NA,NA,42541,42547,6.2794,NA,NA
58,40_7,42472,11C_35C,40,42472,10:42,NA,1.1373,42472,15:57,1,1.3482,42473,9:34,1,2.1129,42473,15:23,1,2.6527,42474,9:44,1,3.9235,42474,15:15,1,4.3309,42475,8:30,1,5.2802,42476,10:18,1,5.9884,42477,10:01,1,6.1933,42478,9:46,1,5.4288,42478,NA,NA,42481,died_before_pupating
99,34-29,42536,11-35C,34,42536,9:25,NA,1.1453,42536,15:32,1,1.4159,42537,9:20,1,2.1267,42537,15:30,1,2.6785,42538,9:30,1,4.3525,42538,15:36,1,4.5765,42539,9:42,1,6.8559,42540,9:47,1,7.8907,42541,NA,NA,NA,NA,NA,NA,NA,42540,42543,3.8658,NA,NA
75,38_10.3,42486,11C_35C,38,42120,9:34,NA,1.1797,42120,14:50,1,1.3981,42487,9:11,1,3.1512,42487,15:31,1,3.8445,42488,9:26,1,5.2541,42488,15:09,1,6.0129,4/29/1930,9:29,1,8.2002,42490,9:30,1,8.8652,42491,NA,NA,NA,42492,NA,NA,NA,42490,42496,2.3391,42497,did_not_pupate_successfully
89,25-29,42536,11-35C,25,42536,9:07,NA,1.1942,42536,15:10,1,1.4578,42537,9:00,1,2.4955,42537,15:13,1,2.9549,42538,9:11,1,4.6404,42538,15:15,1,5.6837,42539,9:20,1,7.6737,42540,9:21,1,11.1029,42541,9:22,1,11.0505,NA,NA,NA,NA,42541,42547,6.5344,NA,NA
92,34-22,42536,11-35C,34,42536,9:14,NA,1.1942,42536,15:20,1,1.175,42537,9:08,1,2.8541,42537,15:20,1,3.4902,42538,9:19,1,5.081,42538,15:25,1,5.7527,42539,9:31,1,7.6691,42540,9:33,1,8.1183,42541,NA,NA,NA,NA,NA,NA,NA,42540,42543,4.2114,NA,NA
94,34-24,42536,11-35C,34,42536,9:17,NA,1.1954,42536,15:23,1,1.6692,42537,9:12,1,3.3361,42537,15:23,1,3.7528,42538,9:22,1,4.9282,42538,15:28,1,5.3439,42539,9:34,1,7.403,42540,9:38,1,8.7517,42541,NA,NA,NA,NA,NA,NA,NA,42540,42543,2.8447,NA,didn’t_pupate_correctly
84,25-24,42536,11-35C,25,42536,8:59,NA,1.2078,42536,15:02,1,1.4932,42537,8:52,1,2.685,42537,15:05,1,3.1091,42538,9:03,1,4.5418,42538,15:04,1,5.0973,42539,9:11,1,6.7918,42540,9:12,1,8.241,42541,9:11,1,8.4346,NA,NA,NA,NA,42541,42546,4.9569,NA,NA
82,25-22,42536,11-35C,25,42536,8:56,NA,1.212,42536,14:58,1,1.4521,42537,8:49,1,2.6545,42537,15:03,1,3.2431,42538,9:00,1,5.0827,42538,15:01,1,5.8891,42539,9:06,1,8.0154,42540,9:08,1,10.9323,42541,9:06,1,11.9911,NA,NA,NA,NA,42541,42547,6.5845,NA,NA
40,30_7,42451,11C_35C,30,42451,9:40,NA,1.2155,42451,16:41,1,1.6734,42452,9:51,1,3.8164,42452,15:09,1,4.6185,42453,9:58,1,7.5783,42453,15:24,1,8.2218,42454,9:53,1,10.724,42455,9:27,1,9.1273,NA,NA,NA,NA,NA,NA,NA,NA,42455,42459,5.6051,42459,NA
70,38_5.3,42486,11C_35C,38,42120,9:23,NA,1.2155,42120,14:40,1,1.4341,42487,9:15,1,3.4467,42487,15:16,1,4.3624,42488,9:19,1,6.1795,42488,15:04,1,6.8488,4/29/1930,9:18,1,8.8373,42490,9:17,1,9.4539,42491,NA,NA,NA,42492,NA,NA,NA,42490,42496,2.9809,42497,did_not_pupate_successfully
68,38_3.3,42486,11C_35C,38,42120,9:19,NA,1.2394,42120,14:33,1,1.4439,42487,9:16,1,2.9702,42487,15:09,1,3.7759,42488,9:13,1,5.1415,42488,15:03,1,5.57,4/29/1930,9:15,1,7.382,42490,9:10,1,7.4286,42491,NA,NA,NA,42492,NA,NA,NA,42490,42496,2.2648,42497,did_not_pupate_successfully
55,40_4,42472,11C_35C,40,42472,10:37,NA,1.2459,42472,15:51,1,1.512,42473,9:33,1,2.3279,42473,15:17,1,2.4585,42474,9:38,1,3.4482,42474,15:18,1,3.5004,42475,8:24,1,4.2477,42476,10:12,1,4.4668,42477,9:56,1,4.1917,42478,NA,0,NA,NA,NA,NA,42478,died_at_larvae_stage
96,34-26,42536,11-35C,34,42536,9:20,NA,1.2464,42536,15:27,1,1.6601,42537,9:15,1,3.2444,42537,15:26,1,4.542,42538,9:25,1,6.1536,42538,15:31,1,6.9909,42539,9:37,1,9.8867,42540,9:42,1,8.0365,42541,NA,NA,NA,NA,NA,NA,NA,42540,42543,4.3511,NA,NA
57,40_6,42472,11C_35C,40,42472,10:41,NA,1.2774,42472,15:55,1,1.4393,42473,9:34,1,1.8546,42473,15:22,1,2.2262,42474,9:42,1,2.1713,42474,15:16,1,2.4952,42475,8:28,1,2.9725,42476,10:16,1,3.0092,42477,10:00,1,3.0169,42478,9:30,1,2.7799,NA,NA,NA,42480,died_at_larvae_stage
66,38_1.3,42486,11C_35C,38,42120,9:15,NA,1.2787,42120,14:29,1,1.4207,42487,9:18,1,2.3679,42487,15:02,1,2.9013,42488,9:06,1,4.6303,42488,15:07,1,5.0406,4/29/1930,9:10,1,6.5031,42490,9:06,1,7.737,42491,9:03,1,7.719,42492,NA,NA,NA,42491,42496,2.8972,42497,did_not_pupate_successfully
69,38_4.3,42486,11C_35C,38,42120,9:21,NA,1.3047,42120,14:38,1,1.5067,42487,9:16,1,2.6562,42487,15:13,1,3.2044,42488,9:17,1,4.3374,42488,15:03,1,4.786,4/29/1930,9:17,1,5.9424,42490,9:15,1,7.1596,42491,9:14,1,6.8043,42492,NA,NA,NA,42491,42496,2.0232,42497,did_not_pupate_successfully
61,40_10,42472,11C_35C,40,42472,10:45,NA,1.308,42472,16:01,1,1.5567,42473,9:36,1,1.9728,42473,15:29,1,2.3505,42474,9:48,1,3.8988,42474,15:13,1,4.2782,42475,8:35,1,5.3302,42476,10:25,1,6.6459,42477,10:07,1,6.8684,42478,NA,NA,NA,42477,NA,NA,42481,died_before_pupating
54,40_2,42472,11C_35C,40,42472,10:35,NA,1.3099,42472,15:47,1,1.5782,42473,9:31,1,2.6352,42473,15:12,1,3.241,42474,9:33,1,4.4903,42474,15:19,1,4.9459,42475,8:20,1,5.518,42476,10:07,1,6.1514,42477,9:50,1,6.6252,42478,9:43,1,5.6805,42478,NA,NA,42482,died_before_pupating
50,38_13,42472,11C_35C,38,42472,10:30,NA,1.3111,42472,15:32,1,1.4541,42473,9:26,1,3.7224,42473,15:49,1,4.3473,42474,9:21,1,5.6878,42474,15:28,1,6.5832,42475,8:51,1,8.3242,42476,9:11,1,7.8345,NA,NA,NA,NA,NA,NA,NA,NA,42476,NA,NA,42481,died_before_pupating
93,34-23,42536,11-35C,34,42536,9:16,NA,1.3191,42536,15:22,1,1.8603,42537,9:10,1,3.9503,42537,15:21,1,4.9035,42538,9:21,1,6.9138,42538,15:26,1,8.1127,42539,9:32,1,9.3472,42540,9:35,1,8.0885,42541,NA,NA,NA,NA,NA,NA,NA,42540,42543,4.2278,NA,NA
42,30_9,42451,11C_35C,30,42451,9:42,NA,1.3224,42451,16:43,1,1.2791,42452,9:55,1,1.9074,42452,15:11,1,2.2369,42453,10:01,1,4.093,42453,15:11,1,5.5489,42454,9:55,1,8.9075,42455,9:23,1,7.4075,NA,NA,NA,NA,NA,NA,NA,NA,42455,42458,4.2286,42458,NA
83,25-23,42536,11-35C,25,42536,8:57,NA,1.3307,42536,15:00,1,1.5737,42537,8:51,1,2.7308,42537,15:04,1,3.3195,42538,9:01,1,4.9392,42538,15:03,1,5.2274,42539,9:09,1,7.4828,42540,9:10,1,10.136,42541,9:09,1,11.2056,NA,NA,NA,NA,42541,42547,6.4367,NA,NA
78,40_17.2,42486,11C_35C,40,42120,9:53,NA,1.3318,42120,14:56,1,1.4594,42487,9:45,1,2.3762,42487,15:43,1,2.8711,42488,9:32,1,3.6776,42488,15:43,1,3.9255,4/29/1930,9:37,1,4.4899,42490,9:39,1,4.8074,42491,9:31,1,5.0863,42492,9:10,1,5.011,42493,NA,NA,42496,died_before_pupating
